ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS
92	geez	full	məluˀ	məluʔ	m ə l u ʔ		20
87	akkadian	full, covered, complete	malû	malû	m a l û		20
1676	arabic	fur, skin	farw-	farw-	f a r w		705
1774	syriac	gall	mrārāta	mraːraːta	m r aː r aː t a		741
1775	syriac	gall, bile	mertā	mertaː	m e r t aː		741
1771	ps	gall, gall bladder	*mVr(V)r-at-	m-rr-at-	m r r a t		741
1772	akkadian	gall, gall bladder	martu	martu	m a r t u		741
1773	hebrew	gallbladder	mərōrā, mərērā	məroːraː	m ə r oː r aː		741
1012	syriac	gardener	buḳḳālā	buqˤqˤaːlaː	b u qˤ qˤ aː l aː		434
1026	ps	garlic	*ṯūm-	θuːm-	θ uː m		475
1027	akkadian	garlic	šūmū	ʃuːmuː	ʃ uː m uː		475
1028	hebrew	garlic	šūm	ʃuːm	ʃ uː m		475
1029	syriac	garlic	tūmā	tuːmaː	t uː m aː		475
1030	arabic	garlic	ṯūm-	θuːm-	θ uː m		475
1031	geez	garlic	som, somat	som	s o m		475
891	akkadian	gazelle	arwû	arwû	a r w û		382
1503	ps	gazelle	*ṯ̣aby(-at)-	θˤabj-	θˤ a b j		624
1504	akkadian	gazelle	ṣabītu	sˤabiːtu	sˤ a b iː t u		624
1505	ugaritic	gazelle	ṯ̣by	θˤbj	θˤ b j		624
1506	hebrew	gazelle	ṣəbī	sˤəbiː	sˤ ə b iː		624
1508	arabic	gazelle	ḏ̣aby-	ðˤabj-	ðˤ a b j		624
1515	ps	gazelle	*γVzāl-	ɣ-zaːl-	ɣ z aː l		628
1516	akkadian	gazelle	ḫuzālu	xuzaːlu	x u z aː l u		628
1518	arabic	gazelle	γazāl-	ɣazaːl-	ɣ a z aː l		628
3508	ps	gazelle	*zVmr-	z-mr-	z m r		1724
1507	syriac	gazelle, deer	ṭabyā	tˤabjaː	tˤ a b j aː		624
1517	syriac	gazelle; fawn	ˁūzaylā	ʕuːzajlaː	ʕ uː z a j l aː		628
1574	ps	gecko	*ˁVṯ̣āy-	ʕ-θˤaːj-	ʕ θˤ aː j		657
1575	akkadian	gecko	iṣṣû	isˤsˤû	i sˤ sˤ û		657
1576	arabic	gecko	ˁiḏ̣āyat-, ˁaḏ̣āˀat-	ʕiðˤaːjat-	ʕ i ðˤ aː j a t		657
1577	ps	gecko	*pVṣγ-	p-sˤɣ-	p sˤ ɣ		658
3419	hebrew	gecko	ŝəmāmīt	ɬəmaːmiːt	ɬ ə m aː m iː t		1687
4004	akkadian	generation	dāru	daːru	d aː r u		2024
3813	ps	genitals, testicles	*ḳ(ʷ)Vlḥ-	qˤ-lħ-	qˤ l ħ		1882
4150	geez	give aid, help, come to rescue	radˀa	radʔa	r a d ʔ a		2134
3591	arabic	gizzard (of some birds); which has a big belly above the navel	ḥawṣal-	ħawsˤal-	ħ a w sˤ a l		1752
1740	arabic	glans penis	kawsalat-	kawsalat-	k a w s a l a t		729
534	hebrew	gloom	ṣalmāwät	sˤalmaːwæt	sˤ a l m aː w æ t		145
1666	hebrew	glutinous substance, pus	liplūp	lipluːp	l i p l uː p		701
1599	ps	gnat	*baḳḳ-	baqˤqˤ-	b a qˤ qˤ		667
1600	akkadian	gnat	baḳḳu	baqˤqˤu	b a qˤ qˤ u		667
1601	syriac	gnat	bāḳā	baːqˤaː	b aː qˤ aː		667
1602	arabic	gnat	baqq-	baqq-	b a q q		667
1611	hebrew	gnats	kinnām	kinnaːm	k i n n aː m		672
3207	geez	go before, come before, precede, begin, have priority, be first, be ahead of, surpass	ḳadama	qˤadama	qˤ a d a m a		1601
3164	hebrew	go up before, stand up; to stand; to be motionless	ˁmd	ʕmd	ʕ m d		1590
1173	ps	goat	*ˁVnz-	ʕ-nz-	ʕ n z		508
1176	hebrew	goat	ˁēz	ʕeːz	ʕ eː z		508
1177	syriac	goat	ˁezzā	ʕezzaː	ʕ e z z aː		508
2741	ps	god	*ˀil-	ʔil-	ʔ i l		1116
2742	akkadian	god	ilu	ilu	i l u		1116
2743	hebrew	god	ˀēl	ʔeːl	ʔ eː l		1116
397	geez	gold	warḳ	warqˤ	w a r qˤ		87
3118	ps	gold	*ḫarūṣ-/*ḫurāṣ-	xaruːsˤ-	x a r uː sˤ		1571
3119	akkadian	gold	ḫurāṣu	xuraːsˤu	x u r aː sˤ u		1571
3120	ugaritic	gold	ḫrṣ	xrsˤ	x r sˤ		1571
3121	hebrew	gold	ḥārūṣ	ħaːruːsˤ	ħ aː r uː sˤ		1571
475	ugaritic	good	ṭb	tˤb	tˤ b		116
474	akkadian	good, sweet, fresh, aromatic, benevolent	ṭābu	tˤaːbu	tˤ aː b u		116
476	hebrew	good; merry; pleasant; in order, usable	ṭōb	tˤoːb	tˤ oː b		116
477	syriac	good; valuable, precious; cost, worth	ṭāb	tˤaːb	tˤ aː b		116
1099	ps	goose	*ˀa/iw(a)z-, *waz(z)-	ʔa	ʔ a		493
1101	ugaritic	goose	ˀuz	ʔuz	ʔ u z		493
1102	syriac	goose	wazzā, wāzā	wazzaː	w a z z aː		493
1103	arabic	goose	ˀiwazz-	ʔiwazz-	ʔ i w a z z		493
1104	geez	goose	zǝy	zǝj	z ə j		493
3349	akkadian	goose	kurkû	kurkû	k u r k û		1650
3348	ps	goose, crane	*kurkiy-	kurkij-	k u r k i j		1650
3443	arabic	gorge	garǯūma	garguːma	g a r g uː m a		1694
76	ugaritic	grain, fodder	ˀakl	ʔakl	ʔ a k l		17
1021	geez	grain, seed	ḫəṭṭat, ḥəṭṭat	xətˤtˤat	x ə tˤ tˤ a t		435
3376	arabic	grande nuée de sauterelles (large swarm of locusts)	dayaǯān-	dajagaːn-	d a j a g aː n		1657
1192	ps	grandfather, ancestor, forefather	*ˁamm-	ʕamm-	ʕ a m m		513
2853	hebrew	grapes that have fallen in a vineyard	päräṭ	pærætˤ	p æ r æ tˤ		1318
883	ps	grass, herb	*šamm-	ʃamm-	ʃ a m m		379
884	akkadian	grass, herb	šammu	ʃammu	ʃ a m m u		379
887	hebrew	grass, herb	däšäˀ	dæʃæʔ	d æ ʃ æ ʔ		380
888	syriac	grass, herb	tadˀā	tadʔaː	t a d ʔ aː		380
885	ps	grass; herb; spring	*daṯˀ-	daθʔ-	d a θ ʔ		380
3520	arabic	grasshopper	zīz-	ziːz-	z iː z		1726
2443	ugaritic	graues Haar	šbt	ʃbt	ʃ b t		1012
388	ps	green	*wrḳ	wrqˤ	w r qˤ		87
391	hebrew	green, greenery	yārōḳ	jaːroːqˤ	j aː r oː qˤ		87
393	syriac	green, livid; herbs, vegetables; egg yolk	yurrāḳā	jurraːqˤaː	j u r r aː qˤ aː		87
392	hebrew	greenish, palegreen	yəraḳraḳ	jəraqˤraqˤ	j ə r a qˤ r a qˤ		87
3641	arabic	grenouille (frog)	qirr-, qurr-, qarr-at-, qirr-at-, qurr-at-	qirr-	q i r r		1787
2441	ps	grey hair	*ŝayb-at-, ŝīb-at-	ɬajb-at-	ɬ a j b a t		1012
2442	akkadian	grey hair	šībtu	ʃiːbtu	ʃ iː b t u		1012
2447	geez	grey hair	ŝibat	ɬibat	ɬ i b a t		1012
3938	hebrew	grieved	ˀāgēm	ʔaːgeːm	ʔ aː g eː m		1996
4187	akkadian	grinding slab, handmill	erû, irû	erû	e r û		2157
1742	akkadian	groin	ribītu	ribiːtu	r i b iː t u		730
886	akkadian	growth, spring; grass	dīšu	diːʃu	d iː ʃ u		380
3545	arabic	grue	γirnīḳ-, γurnūḳ-, γirnawḳ-, γurnayḳ-	ɣirniːqˤ-	ɣ i r n iː qˤ		1735
3350	syriac	grus (grue)	kurkəyā	kurkəjaː	k u r k ə j aː		1650
780	ugaritic	guarantor, surety	ˁrbn	ʕrbn	ʕ r b n		348
593	akkadian	gullet	mušērittu	muʃeːrittu	m u ʃ eː r i t t u		192
1990	ps	gum	*laṯaγ-	laθaɣ-	l a θ a ɣ		826
1991	akkadian	gum	lašḫu	laʃxu	l a ʃ x u		826
1992	arabic	gum	laṯaγat-	laθaɣat-	l a θ a ɣ a t		826
1994	akkadian	gums	dūr šinni	duːr	d uː r		827
871	arabic	guépier (oiseau) (beetree (bird)	warwār-	warwaːr-	w a r w aː r		373
855	arabic	génisse (heifer)	ˀirḫat-	ʔirxat-	ʔ i r x a t		370
93	ps	hair	*ŝaˁr-	ɬaʕr-	ɬ a ʕ r		21
94	akkadian	hair	šārtu	ʃaːrtu	ʃ aː r t u		21
98	arabic	hair	šaˁr-	ʃaʕr-	ʃ a ʕ r		21
2000	ps	hair	*parˁ-	parʕ-	p a r ʕ		831
2001	akkadian	hair	pērtu	peːrtu	p eː r t u		831
2903	ps	hair (on the head), bristle	*zapp/bb-	zapp	z a p p		1341
99	geez	hair of body or head	ŝəˁərt	ɬəʕərt	ɬ ə ʕ ə r t		21
2009	arabic	hair, hair of the neck, back of the head and jaw; hair on the thighs (of women)	γafar-	ɣafar-	ɣ a f a r		832
97	syriac	hair; feathers	saˁrā	saʕraː	s a ʕ r aː		21
96	hebrew	hairiness, body hair, hairy covering	ŝēˁār	ɬeːʕaːr	ɬ eː ʕ aː r		21
100	ps	hand	*yad-	jad-	j a d		23
102	ugaritic	hand	yd	jd	j d		23
105	geez	hand	ˀəd	ʔəd	ʔ ə d		23
104	syriac	hand, arm, forepaw; power	ˀidā	ʔidaː	ʔ i d aː		23
2027	akkadian	hand, claw, paw; handful	rittu	rittu	r i t t u		835
4186	ps	hand-mill, millstone	*riḥay-	riħaj-	r i ħ a j		2157
2035	syriac	handful, fistful	ḥupnā	ħupnaː	ħ u p n aː		836
2037	geez	handful, fistful	ḥəfn	ħəfn	ħ ə f n		836
3833	hebrew	handfuls	ḳəmāṣīm	qˤəmaːsˤiːm	qˤ ə m aː sˤ iː m		1910
3463	arabic	hanging flesh under the chin (of some animals), dewlap (of oxen), beard (of cock), throat (of humans)	γabab-	ɣabab-	ɣ a b a b		1703
860	ps	hare	*ˀarnab(-at)-	ʔarnab-	ʔ a r n a b		372
861	akkadian	hare	arnabu	arnabu	a r n a b u		372
862	hebrew	hare	ˀarnäbät	ʔarnæbæt	ʔ a r n æ b æ t		372
865	geez	hare	ˀarnab-	ʔarnab-	ʔ a r n a b		372
866	geez	hare	ḳarnab	qˤarnab	qˤ a r n a b		372
864	arabic	hare, rabbit	ˀarnab-	ʔarnab-	ʔ a r n a b		372
1824	arabic	haunch, upper thigh	warik-	warik-	w a r i k		758
2794	arabic	having the nose slit	ˀašram-	ʔaʃram-	ʔ a ʃ r a m		1208
2007	akkadian	having wiry (?) hair	apparrû	apparrû	a p p a r r û		832
3322	syriac	hawk	neṣṣā	nesˤsˤaː	n e sˤ sˤ aː		1641
3036	ps	he	*šū̆/šū̆ˀ/šū̆wa	ʃu	ʃ u		1511
3037	akkadian	he	šū	ʃuː	ʃ uː		1511
3039	hebrew	he	hū(ˀ)	huː	h uː		1511
3040	arabic	he	huwa	huwa	h u w a		1511
3041	geez	he	wəˀətu	wəʔətu	w ə ʔ ə t u		1511
3038	ugaritic	he, it	hw	hw	h w		1511
106	ps	head	*raˀš-	raʔʃ-	r a ʔ ʃ		24
108	ugaritic	head	rˀiš	rʔiʃ	r ʔ i ʃ		24
111	arabic	head	raˀs­-	raʔs-	r a ʔ s		24
112	geez	head	rəˀs	rəʔs	r ə ʔ s		24
114	akkadian	head	ḳaḳḳadu	qˤaqˤqˤadu	qˤ a qˤ qˤ a d u		25
1447	ps	head of small cattle	*laˀlaˀ-	laʔlaʔ-	l a ʔ l a ʔ		608
2688	ps	head of small cattle	*ṯVl-	θ-l-	θ l		1088
109	hebrew	head; person; beginning; leader, chief	rō(ˀ)š	roːʃ	r oː ʃ		24
107	akkadian	head; servant, slave; top, summit; beginning	rēšu	reːʃu	r eː ʃ u		24
110	syriac	head; top, summit; point; beginning	rešā	reʃaː	r e ʃ aː		24
124	ps	heart	*libb-	libb-	l i b b		27
125	akkadian	heart	libbu	libbu	l i b b u		27
126	ugaritic	heart	lb	lb	l b		27
133	arabic	heart	qalb-	qalb-	q a l b		28
128	syriac	heart, inside of the body; center, pith, inside; cake	lebbā	lebbaː	l e b b aː		27
131	ps	heart, middle of the body	*ḳalb-/*ḳabl-	qˤalb-	qˤ a l b		28
130	geez	heart; mind	ləbb	ləbb	l ə b b		27
127	hebrew	heart; one's inner self; inclination, disposition, will, intention; reason	lēb	leːb	l eː b		27
2339	syriac	heat, ardor; poison	ḥemtā	ħemtaː	ħ e m t aː		980
1318	arabic	heat, flame	ˀirrat-	ʔirrat-	ʔ i r r a t		554
1319	arabic	heat, flame	ˀuwār-	ʔuwaːr-	ʔ u w aː r		554
1253	ps	heaven	*šamā̆y-	ʃamaj-	ʃ a m a j		536
1254	akkadian	heaven	šamû	ʃamû	ʃ a m û		536
1255	ugaritic	heaven	šmm	ʃmm	ʃ m m		536
1256	hebrew	heaven	šāmayim	ʃaːmajim	ʃ aː m a j i m		536
1257	syriac	heaven	šmayyā	ʃmajjaː	ʃ m a j j aː		536
1258	arabic	heaven	samāˀ-	samaːʔ-	s a m aː ʔ		536
1259	geez	heaven	samāy	samaːj	s a m aː j		536
922	ps	heel	*ˁaḳib-, *ˁiḳb-	ʕaqˤib-	ʕ a qˤ i b		394
923	akkadian	heel	eḳbu	eqˤbu	e qˤ b u		394
926	hebrew	heel	ˁāḳēb	ʕaːqˤeːb	ʕ aː qˤ eː b		394
930	arabic	heel	ˁaqib-	ʕaqib-	ʕ a q i b		394
2025	geez	heel, palm of hand, sole of foot	kāf	kaːf	k aː f		834
928	syriac	heel; hoof	ˁeḳbā	ʕeqˤbaː	ʕ e qˤ b aː		394
1436	syriac	hegoat	tayšā	tajʃaː	t a j ʃ aː		604
1125	ugaritic	heifer	ˁglt	ʕglt	ʕ g l t		499
1132	arabic	heifer	ˁiǯlat-	ʕiglat-	ʕ i g l a t		499
1127	hebrew	heifer, young cow	ˁäglā	ʕæglaː	ʕ æ g l aː		499
807	ugaritic	height	smkt	smkt	s m k t		358
3096	ps	her (genitive and accusative pronominal suffix, 3 fem. sg.)	*-šā̆	-ʃa	ʃ a		1567
3098	geez	her (genitive and accusative pronominal suffix, 3 fem. sg.)	-ā, -hā	-aː	aː		1567
3097	akkadian	her (genitive pronominal suffix)	-ša	-ʃa	ʃ a		1567
399	geez	herb, grass, vegetation, straw	ŝāˁr	ɬaːʕr	ɬ aː ʕ r		88
2516	akkadian	herd of cattle, sheep, or horses	būlu	buːlu	b uː l u		1041
3256	syriac	heron	ˁizyā	ʕizjaː	ʕ i z j aː		1616
3412	syriac	heron, pelican; ibis	šālē nūnē	ʃaːleː	ʃ aː l eː		1685
664	akkadian	high	elû	elû	e l û		268
1887	ps	hill	*karm-	karm-	k a r m		784
1888	akkadian	hill	karmu	karmu	k a r m u		784
1214	ugaritic	hill, hillock, knoll	tl	tl	t l		523
3094	geez	him (accusative pronominal suffix, 3 masc. sg.)	-o, -hu	-o	o		1566
1115	syriac	hind	ˀayltā	ʔajltaː	ʔ a j l t aː		496
1747	arabic	hinder part, posteriors, buttocks, rump	kafal-	kafal-	k a f a l		731
1819	ps	hip(-bone)	*warik(-at)-	warik-	w a r i k		758
3445	akkadian	hip, flank	giššu (gilšu)	giʃʃu	g i ʃ ʃ u		1695
3447	syriac	hip.side; girdle around male pubic area; wheels and axles	gessā	gessaː	g e s s aː		1695
1822	ugaritic	hips (?)	yrk	jrk	j r k		758
1224	arabic	hirondelle	ˁuwwār-	ʕuwwaːr-	ʕ u w w aː r		528
3095	geez	his (genitive pronominal suffix, 3 masc. sg.)	-u/-o, -hu	-u	u		1566
3092	ps	his; him (genitive and accusative pronominal suffix, 3 masc. sg.)	*-šū̆	-ʃu	ʃ u		1566
3093	akkadian	his; him (genitive and accusative pronominal suffix, 3 masc. sg.)	-šu	-ʃu	ʃ u		1566
924	ugaritic	hock, heel	ˁḳb	ʕqˤb	ʕ qˤ b		394
3677	arabic	hollow at the top of the chest, between the two collarbones	kuḏ̣r-	kuðˤr-	k u ðˤ r		1812
2032	ps	hollow of the hand	*ḥupn-	ħupn-	ħ u p n		836
2033	akkadian	hollow of the hand	upnu	upnu	u p n u		836
2036	arabic	hollow, cavity, trench	ḥufnat-	ħufnat-	ħ u f n a t		836
3764	ugaritic	holy	ḳdš	qˤdʃ	qˤ d ʃ		1864
3765	hebrew	holy, consecrated	ḳādōš	qˤaːdoːʃ	qˤ aː d oː ʃ		1864
1845	ps	honey	*dibš-	dibʃ-	d i b ʃ		769
1846	akkadian	honey	dišpu	diʃpu	d i ʃ p u		769
1847	hebrew	honey	dəbaš	dəbaʃ	d ə b a ʃ		769
1848	syriac	honey	debšā	debʃaː	d e b ʃ aː		769
1850	geez	honey	dbs	dbs	d b s		769
800	geez	honored, honorable, glorious, magnificent, famous, illustrious, noble, precious	kəbur	kəbur	k ə b u r		354
3260	syriac	hoopoe; owl	baˀwā, bawwā	baʔwaː	b a ʔ w aː		1617
135	ps	horn	*ḳarn-	qˤarn-	qˤ a r n		29
136	akkadian	horn	ḳarnu	qˤarnu	qˤ a r n u		29
137	ugaritic	horn	ḳrn	qˤrn	qˤ r n		29
138	hebrew	horn	ḳärän	qˤæræn	qˤ æ r æ n		29
139	syriac	horn	ḳarnā	qˤarnaː	qˤ a r n aː		29
140	arabic	horn	qarn-	qarn-	q a r n		29
141	geez	horn	ḳarn	qˤarn	qˤ a r n		29
3431	hebrew	horned viper	šəpīpōn	ʃəpiːpoːn	ʃ ə p iː p oː n		1691
1462	syriac	horse`s foal	muhrā	muhraː	m u h r aː		614
1309	akkadian	hot	emmu	emmu	e m m u		553
1310	hebrew	hot	ḥām	ħaːm	ħ aː m		553
1311	syriac	hot	ḥammimā	ħammimā	ħ a m m i m ā		553
2931	ps	house	*bayt-	bajt-	b a j t		1383
2936	geez	house	bet	bet	b e t		1383
4001	arabic	house	dār-	daːr-	d aː r		2023
2933	ugaritic	house, building; residence, home	bt	bt	b t		1383
2934	hebrew	house, dwelling place	bayit	bajit	b a j i t		1383
2932	akkadian	house, place of dwelling	bītu (bētu)	biːtu	b iː t u		1383
4000	syriac	house, residence; court, atrium	dārtā	daːrtaː	d aː r t aː		2023
2935	arabic	house, tent	bayt-	bajt-	b a j t		1383
3612	akkadian	human lungs, belly, entrails	ḫašû	xaʃû	x a ʃ û		1761
3227	ps	hundred	*miˀ-at-	miʔ-at-	m i ʔ a t		1607
3228	akkadian	hundred	meat/mât/mē	meat	m e a t		1607
3230	hebrew	hundred	meā	meaː	m e aː		1607
3231	arabic	hundred	miˀat-	miʔat-	m i ʔ a t		1607
3232	geez	hundred, century	məˀət	məʔət	m ə ʔ ə t		1607
3229	ugaritic	hundred, one hundred	mˀit	mʔit	m ʔ i t		1607
557	akkadian	husband	mutu	mutu	m u t u		157
560	geez	husband	mət	mət	m ə t		157
556	ps	husband or man	*mut-	mut-	m u t		157
731	hebrew	husband; landowner, citizen	baˁal	baʕal	b a ʕ a l		335
4072	ugaritic	husk; sheath	γlp	ɣlp	ɣ l p		2083
1482	geez	hyena	zəˀb, zəbˀ	zəʔb	z ə ʔ b		620
1488	ps	hyena	*ṣ̂VbVˁ-	ɬˤ-b-ʕ-	ɬˤ b ʕ		622
1489	akkadian	hyena	būṣu	buːsˤu	b uː sˤ u		622
1491	hebrew	hyena	ṣābūaˁ	sˤaːbuːaʕ	sˤ aː b uː a ʕ		622
1492	syriac	hyena	ˀăpˁā	ʔăpʕaː	ʔ ă p ʕ aː		622
1493	arabic	hyena	ḍabuˁ-	dˤabuʕ-	dˤ a b u ʕ		622
1494	geez	hyena	ṣ̂əbˁ	ɬˤəbʕ	ɬˤ ə b ʕ		622
1726	akkadian	hypogastric region	emšu	emʃu	e m ʃ u		724
1165	arabic	hyrax Syriacus	wabr-	wabr-	w a b r		504
1117	geez	ibex, mountain goat	hayyal	hajjal	h a j j a l		496
1116	arabic	ibex, mountain goat; deer	ˀiyyal-, ˀuyyal-	ʔijjal-	ʔ i j j a l		496
2674	hebrew	ibis	yanšūp	janʃuːp	j a n ʃ uː p		1080
2248	akkadian	im Kindbett liegen	ḫarāšu	xaraːʃu	x a r aː ʃ u		960
4130	hebrew	impeded	ˀiṭṭēr	ʔitˤtˤeːr	ʔ i tˤ tˤ eː r		2129
721	ugaritic	in front of	ḳdm	qˤdm	qˤ d m		331
724	arabic	in front of	quddām-	quddaːm-	q u d d aː m		331
719	ps	in front of, before	*ḳVdm	qˤ-dm	qˤ d m		331
722	hebrew	in front; east; before, earlier, in olden days	ḳädäm	qˤædæm	qˤ æ d æ m		331
1957	hebrew	inflammation	šəḥīn	ʃəħiːn	ʃ ə ħ iː n		809
2271	hebrew	inflammation, fever	ḳaddaḥat	qˤaddaħat	qˤ a d d a ħ a t		964
2229	arabic	injure; sottise	halhal	halhal	h a l h a l		948
3745	ps	inner part, middle of the body	*ḳVrb-	qˤ-rb-	qˤ r b		1852
3645	syriac	insectum quoddam (a certain kind of insect)	ḳamḥā	qˤamħaː	qˤ a m ħ aː		1789
610	arabic	inside; interior	ǯaww-	gaww-	g a w w		199
3202	arabic	intensely hot	muḥtamid-	muħtamid-	m u ħ t a m i d		1599
608	syriac	intestina, viscera	gəwāyā	gəwaːjaː	g ə w aː j aː		199
170	geez	intestine	ˀamāˁut	ʔamaːʕut	ʔ a m aː ʕ u t		34
3016	ps	intestine	*sur(u)m-	surm-	s u r m		1506
3013	ps	intestine; spleen	*šVmāḫ-	ʃ-maːx-	ʃ m aː x		1502
167	syriac	intestines	məˁūṯā	məʕuːθaː	m ə ʕ uː θ aː		34
168	syriac	intestines	məˁayyā	məʕajjaː	m ə ʕ a j j aː		34
169	arabic	intestines	maˁy-, maˁan	maʕj-	m a ʕ j		34
164	ps	intestines, entrails	*mVˁay-	m-ʕaj-	m ʕ a j		34
2901	akkadian	intestines, gut	irrū (wirrū)	irruː	i r r uː		1336
3746	akkadian	intestines, insides (in the pl.), mind, heart	ḳerbu	qˤerbu	qˤ e r b u		1852
2899	ps	intestines; excrement	*ˁu/irray(-at)-	ʕu	ʕ u		1336
3868	arabic	intestins	rabaḍ-	rabadˤ-	r a b a dˤ		1948
2596	syriac	intoxicating drink not made from grapes	šakrā	ʃakraː	ʃ a k r aː		1062
1939	ugaritic	invalid, sick person	zbl	zbl	z b l		796
2383	akkadian	it (the forest) was still	nu-ma-at	nu-ma-at	n u m a a t		1000
2434	geez	itch, a boil	ḫəŝaf	xəɬaf	x ə ɬ a f		1010
1054	ps	jackal	*ˀVwVy-	ʔ-w-j-	ʔ w j		481
1055	hebrew	jackal	ˀī (only in the pl. ˀiyyīm)	ʔiː	ʔ iː		481
1478	akkadian	jackal	zību	ziːbu	z iː b u		620
1056	syriac	jackals, golden gods	bnāt ˀāway	bnaːt	b n aː t		481
2070	ugaritic	jarrete, artejo	krˁ	krʕ	k r ʕ		851
1982	akkadian	jaw	laḫû	laxû	l a x û		824
3848	ps	jaw	*lVγ-	l-ɣ-	l ɣ		1914
1987	arabic	jaw, jawbone, jowl	laḥy-	laħj-	l a ħ j		824
3849	hebrew	jawbones (pl.)	mətalləˁōt	mətalləʕoːt	m ə t a l l ə ʕ oː t		1914
1159	akkadian	jerboa	akbaru	akbaru	a k b a r u		504
1530	ps	jerboa	*yarbVˁ-	jarb-ʕ-	j a r b ʕ		635
1531	akkadian	jerboa	arrabû	arrabû	a r r a b û		635
1532	syriac	jerboa	yarbūˁā	jarbuːʕaː	j a r b uː ʕ aː		635
1533	arabic	jerboa	yarbūˁ-	jarbuːʕ-	j a r b uː ʕ		635
853	arabic	jeune taureau (young bull)	ˀirḫ-	ʔirx-	ʔ i r x		370
3674	ps	joint (of the ribs, fingers, etc.)	*ki/uṯ̣r-	ki	k i		1812
1654	ps	joint of limb bones; flexion, bend of limbs	*kVrm-	k-rm-	k r m		696
3675	akkadian	joint of the human or animal body	kiṣru	kisˤru	k i sˤ r u		1812
3830	ps	joint, point of connection between bones	*ḳ(ʷ)Vyṣ-, *k(ʷ)Vṣṣ-	qˤ-jsˤ-	qˤ j sˤ		1910
993	ps	juniper	*burāṯ-	buraːθ-	b u r aː θ		423
994	akkadian	juniper	burāšu	buraːʃu	b u r aː ʃ u		423
995	hebrew	juniper	bərōš	bəroːʃ	b ə r oː ʃ		423
1000	hebrew	juniper	ˁarˁār	ʕarʕaːr	ʕ a r ʕ aː r		424
1003	arabic	juniper	ˁarˁar-	ʕarʕar-	ʕ a r ʕ a r		424
1448	akkadian	kid	lalû	lalû	l a l û		608
3244	ps	kid	*ˁayp-, *pa(y)ˁ-	ʕajp-	ʕ a j p		1612
3506	hebrew	kid	yaˁărā	jaʕăraː	j a ʕ ă r aː		1723
3507	arabic	kid; kid that is tied up or thrown into a pit to attract a lion or a wolf	yaˁr-	jaʕr-	j a ʕ r		1723
1760	ps	kidney	*kVly-at-	k-lj-at-	k l j a t		737
1761	akkadian	kidney	kalītu	kaliːtu	k a l iː t u		737
1762	ugaritic	kidney	klyt	kljt	k l j t		737
1763	hebrew	kidney	kilyā	kiljaː	k i l j aː		737
1764	syriac	kidney	kōlītā	koːliːtaː	k oː l iː t aː		737
1765	arabic	kidney	kulyat-	kuljat-	k u l j a t		737
1766	geez	kidney	kʷəlit	kʷəlit	kʷ ə l i t		737
3318	ps	kind of a bird	*na/iṣ(ṣ)-	na	n a		1641
859	geez	kind of antelope	ˀornā	ʔornaː	ʔ o r n aː		371
1514	arabic	kind of antelope	riˀm-	riʔm-	r i ʔ m		625
3487	ps	kind of antelope	*tāˀ/y-	taːʔ	t aː ʔ		1714
3420	arabic	kind of big lizard	sāmm-	saːmm-	s aː m m		1687
808	ps	kind of bird	*ˀabbVk-	ʔabb-k-	ʔ a b b k		359
810	ps	kind of bird	*ˀVbbVl-	ʔ-bb-l-	ʔ b b l		361
824	ps	kind of bird	*ˀanap-at-	ʔanap-at-	ʔ a n a p a t		365
867	ps	kind of bird	*ˀarVr-	ʔar-r-	ʔ a r r		373
2672	ps	kind of bird	*nVšVp-	n-ʃ-p-	n ʃ p		1080
2683	ps	kind of bird	*tVrr-	t-rr-	t r r		1087
3241	ps	kind of bird	*ˁVsVb-	ʕ-s-b-	ʕ s b		1610
3287	ps	kind of bird	*nVγVr-	n-ɣ-r-	n ɣ r		1629
3295	ps	kind of bird	*ḫVl-	x-l-	x l		1632
3300	ps	kind of bird	*nVḳVr-	n-qˤ-r-	n qˤ r		1634
3305	ps	kind of bird	*bar-	bar-	b a r		1636
3340	ps	kind of bird	*pVrpVr-, *parr/w-	p-rp-r-	p r p r		1647
3386	ps	kind of bird	*dVrr-	d-rr-	d r r		1669
3391	ps	kind of bird	*raˀ/w/hy-	raʔ	r a ʔ		1675
3401	ps	kind of bird	*saḳʷāt-/*saḳāt-	saqˤʷaːt-	s a qʷˤ aː t		1678
3403	ps	kind of bird	*sVm(V)m(-at)-	s-mm-	s m m		1679
3411	ps	kind of bird	*šVl-	ʃ-l-	ʃ l		1685
3414	ps	kind of bird	*šVl(V)k-	ʃ-lk-	ʃ l k		1686
3424	ps	kind of bird	*g(ʷ)amg(ʷ)am-, *gVmgVm-	gamgam-	g a m g a m		1689
3477	ps	kind of bird	*ŝVrŝūr-	ɬ-rɬuːr-	ɬ r ɬ uː r		1709
3489	ps	kind of bird	*tVkur(r)-	t-kur-	t k u r		1715
3490	akkadian	kind of bird	titkurru	titkurru	t i t k u r r u		1715
3499	ps	kind of bird	*wVˁ-	w-ʕ-	w ʕ		1720
3504	ps	kind of bird	*waw-at-	waw-at-	w a w a t		1722
3533	ps	kind of bird	*ḳ(ʷ)aˀ(ḳ(ʷ)aˀ)-	qˤaʔ-	qˤ a ʔ		1732
3634	ps	kind of bird	*kVw-	k-w-	k w		1785
