Grapheme	IPA	Frequence	Codepoints
ኵ	<?>	1	U+12b5
𒅥	<?>	1	U+2165
ф	<?>	1	U+0444
𒀊	<?>	1	U+200a
𐩱𐩱	<?>	1	U+0a71 U+0a71
ᎈ	<?>	1	U+1388
ቺ	<?>	1	U+127a
𒐉	<?>	1	U+2409
ბ	<?>	1	U+10d1
𒀖	<?>	1	U+2016
dh	dh	1	U+0064 U+0068
ẓ̂	ẓ̂	1	U+1e93 U+0302
nw	nw	1	U+006e U+0077
𒊍	<?>	1	U+228d
*w	<?>	1	U+002a U+0077
ayy	ayy	1	U+0061 U+0079 U+0079
𒀀𒀀	<?>	1	U+2000 U+2000
ayya	ayya	1	U+0061 U+0079 U+0079 U+0061
𒁰	<?>	1	U+2070
𒈦	<?>	1	U+2226
ⲩ	<?>	1	U+2ca9
ቴ	<?>	1	U+1274
𒋀	<?>	1	U+22c0
ഇ	<?>	1	U+0d07
õe	õe	1	U+00f5 U+0065
ኍ	<?>	1	U+128d
ሑ	<?>	1	U+1211
ࠢ	<?>	1	U+0822
ࠜ	<?>	1	U+081c
ࠦ	<?>	1	U+0826
ࠉ	<?>	1	U+0809
࠙	<?>	1	U+0819
ࠬ	<?>	1	U+082c
ഉ	<?>	1	U+0d09
ⲙ	<?>	1	U+2c99
ዬ	<?>	1	U+12ec
𒌦	<?>	1	U+2326
𒎌	<?>	1	U+238c
ֱ	<?>	1	U+05b1
𒉆	<?>	1	U+2246
ቫ	<?>	1	U+126b
ዎ	<?>	1	U+12ce
ʾe	ʾe	1	U+02be U+0065
bh	bh	1	U+0062 U+0068
íyo	íyo	1	U+00ed U+0079 U+006f
ٌ	<?>	1	U+064c
ጻ	<?>	1	U+133b
𒌫	<?>	1	U+232b
ֻ	<?>	1	U+05bb
ʾi	ʾi	1	U+02be U+0069
ዚ	<?>	1	U+12da
ዙ	<?>	1	U+12d9
𒅖	<?>	1	U+2156
𒈾𒈾	<?>	1	U+223e U+223e
й	<?>	1	U+0439
ऐ	<?>	1	U+0910
𒁹	<?>	1	U+2079
𐡔	<?>	1	U+0854
𐡰	<?>	1	U+0870
𐡯	<?>	1	U+086f
𐡶	<?>	1	U+0876
ׅ	<?>	1	U+05c5
𒄊	<?>	1	U+210a
𒍚	<?>	1	U+235a
ṣṣ	ṣṣ	1	U+1e63 U+1e63
𒆲	<?>	1	U+21b2
𒅾	<?>	1	U+217e
ḳh	ḳh	1	U+1e33 U+0068
𐪙	<?>	1	U+0a99
uʿ	uʿ	1	U+0075 U+02bf
𒉁	<?>	1	U+2241
𒅋	<?>	1	U+214b
ֳ	<?>	1	U+05b3
𒈬𒈬	<?>	1	U+222c U+222c
𒍨	<?>	1	U+2368
ࡑ	<?>	1	U+0851
ቆ	<?>	1	U+1246
ʿā	ʿā	1	U+02bf U+0101
ʿɔ́	ʿɔ́	1	U+02bf U+0254 U+0301
šš	šš	1	U+0161 U+0161
𒇥	<?>	1	U+21e5
𒌆	<?>	1	U+2306
ἅ	<?>	1	U+1f05
π	<?>	1	U+03c0
pw	pw	1	U+0070 U+0077
𐡑	<?>	1	U+0851
𐡲	<?>	1	U+0872
𐡣	<?>	1	U+0863
𒁲	<?>	1	U+2072
ܸ	<?>	1	U+0738
𒁽	<?>	1	U+207d
𒐊	<?>	1	U+240a
ہ	<?>	1	U+06c1
ua	ua	1	U+0075 U+0061
𒂵𒆷𒌝, 𒂵𒊏𒌝	<???>	1	U+20b5 U+21b7 U+231d U+002c U+0020 U+20b5 U+228f U+231d
𐡒	<?>	1	U+0852
𐡳	<?>	1	U+0873
𐡡	<?>	1	U+0861
𐣲	<?>	1	U+08f2
𐣡	<?>	1	U+08e1
𐢚	<?>	1	U+089a
𐢂	<?>	1	U+0882
ܰܰ	<?>	1	U+0730 U+0730
ż	ż	1	U+017c
𒍮	<?>	1	U+236e
ḍ	ḍ	1	U+1e0d
𒋰	<?>	1	U+22f0
𒇇	<?>	1	U+21c7
𐩼	<?>	1	U+0a7c
𒄯	<?>	1	U+212f
𒅎	<?>	1	U+214e
ı	ı	1	U+0131
ğ	<?>	1	U+011f
ꦱ	<?>	1	U+a9b1
ꦭ	<?>	1	U+a9ad
꧀	<?>	1	U+a9c0
ꦗ	<?>	1	U+a997
ꦸ	<?>	1	U+a9b8
ᮞ	<?>	1	U+1b9e
ᮜ	<?>	1	U+1b9c
᮪	<?>	1	U+1baa
ᮏ	<?>	1	U+1b8f
ᮥ	<?>	1	U+1ba5
th	tʰ	1	U+0074 U+0068
qw	qw	1	U+0071 U+0077
iy	iy	1	U+0069 U+0079
𒐍	<?>	1	U+240d
𒄞	<?>	1	U+211e
𒈜	<?>	1	U+221c
𒌢	<?>	1	U+2322
ḏ̣	d̠̣	1	U+1e0f U+0323
