ID	DOCULECT	CONCEPT	VALUE	TOKENS	NOTE	COGID
3782	Arabic	rush	ˀasal-		(Lane 59)	401
	PS	reed, cane	*ḳanay-		(Fronzaroli 1969a, pp. 276, 290, 299)	402
3783	Akkadian	reed, cane	ḳanû		(CAD Q 85, AHw. 898)	402
3784	Ugaritic	reed, cane	ḳn		(DUL 704)	402
3785	Hebrew	reed, cane	ḳānǟ		(HALOT 1113)	402
3788	Syriac	reed, cane	ḳanyā		(LSyr. 677, SL 1383)	402
3789	Arabic	reed, cane	qanāt-		(Lane 2994)	402
	PS	tamarisk	*ˀaṯl- (*ˀiṯl-)		(Kogan 2012: 235, n. 24)	404
3790	Hebrew	tamarisk	ˀēšäl		(HALOT 95)	404
3791	Arabic	tamarisk	ˀaṯl-		(Lane 21)	404
	PS	(a plant)	*ḥVlp(-at)-		(Fronzaroli 1969a, pp. 276, 289, 299; Kogan 2012: 236)	405
3795	Akkadian	rush	elpetu		(CAD E 108, AHw. 205)	405
3797	Arabic	alfa	ḥalaf-		(Lane 627)	405
	PS	type of a wild pumpkin; colocynth	*pVḳVˁ-		(Kogan 2011: 201; Kogan 2012: 236)	406
3798	Akkadian	colocynth	peḳû		(CAD P 326, AHw. 854)	406
22909	Akkadian	colocynth	peḳḳû		(CAD P 326, AHw 854)	406
23839	Hebrew	colocynth	paḳḳūˁā		(HALOT 960)	406
23838	Syriac	colocynth	paḳḳuˁā		(LSyr. 590, SL 1223)	406
5938	Arabic	colocynth (type of a wild pumpkin)	fuqqāˁ		(Lane 2428)	406
	PS	(type of a tree)	*bay(a)n-		(Kogan 2012: 238)	407
3808	Akkadian	tamarisk	bīnu		(CAD B 239, AHw. 127)	407
3813	Arabic	moringa	bān-		(Lane 278)	407
	PS	(a thorny plant)	*ˀaṭad-		(Fronzaroli 1969a, pp. 278, 291, 300)	409
3818	Akkadian	boxthorn (lycium barbarum)	eṭṭettu		(CAD E 23, AHw. 266)	409
3820	Hebrew	(a thorny plant)	ˀāṭād		(HALOT 37)	409
3821	Syriac	(a thorny plant)	ˀaṭādā		(LSyr. 13, SL 30)	409
3822	Arabic	thorny plant	ˀaṭad-		(LA 3 88)	409
	PS	willow	*ḫilāp-		(Fronzaroli 1969a, pp. 278, 291, 300)	413
3823	Akkadian	willow	ḫilēpu		(CAD Ḫ 185, AHw. 345)	413
3824	Syriac	willow	ḥellāpā		(LSyr. 235, SL 459)	413
3825	Arabic	willow	ḫilāf-		(Lane 797)	413
	PS	(a big poplar)	*ˀayl(-ān)-		(Fronzaroli 1969a, pp. 277, 290, 300)	414
3828	Hebrew	a large tree; terebinth(?)	ˀēlā		(HALOT 40, 51–54)	414
17667	Hebrew	mighty tree	ˀayil		(HALOT 40)	414
	PS	oak	*ˀall(-ān)-		(Fronzaroli 1969a, pp. 277, 290, 300)	415
3826	Akkadian	oak	allānu		(CAD A₁ 354, AHw. 37)	415
3829	Hebrew	a large tree; oak(?)	ˀēlōn		(HALOT 40, 51–54)	415
21610	Hebrew	oak	ˀallōn		(HALOT 54)	415
17668	Arabic	a kind of tree	ˀalāˀ-		(LA 14 53)	415
	PS	juniper	*burāṯ-		(Fronzaroli 1969a, pp. 278, 291, 300)	423
3887	Akkadian	juniper	burāšu		(CAD B 326, AHw. 139)	423
3888	Hebrew	juniper	bərōš		(HALOT 155)	423
3889	Syriac	cypress	brātā		(LSyr. 98, SL 187)	423
	PS	(a plant)	*ˁarˁar-		(Kogan 2012: 242–244)	424
3891	Akkadian	cedar	erēnu		(CAD E 274, AHw. 237)	424
3899	Ugaritic	tamarisk	ˁrˁr		(DUL 178; Pardee 1988: 215–216; Kogan 2012: 243)	424
3896	Hebrew	juniper	ˁarˁār		(HALOT 887)	424
3898	Syriac	tamarisk	ˁarrā		(LSyr. 544, SL 1141)	424
3897	Syriac	resin of tamarisk	ˁarˁūrā		(LSyr. 544, SL 1141)	424
3893	Arabic	juniper	ˁarˁar-		(LA 4 644; Lane 1990)	424
	PS	to be deep	*ˁmḳ		(CDG 63)	429
7847	Ugaritic	valley	ˁmḳ		(DUL 165)	429
7848	Hebrew	to be deep	ˁmḳ		(HALOT 947)	429
7849	Syriac	to become deep; to be sunk down	ˁmḳ		(LSyr. 531, SL 1113)	429
7850	Arabic	to be deep	ˁmq		(Lane 2157)	429
7851	Geez	to be deep	ˁamaḳa		(CDG 63)	429
	PS	a cultivated plant, shoot, seed, grain, cereal, vegetable	*bVḳl-		(Fronzaroli 1969b: 5, 24, 32; Kogan 2012: 245)	434
3901	Akkadian	malt	buḳlu		(CAD B 323, AHw. 139)	434
3927	Syriac	gardener	buḳḳālā		(LSyr. 87, SL 177)	434
3928	Arabic	plants that are neither trees, nor bushes; greens, vegetables, all plants that are gathered after being sown	baql-		(Lane 236)	434
3932	Geez	plant, grass, vegetation	baḳʷl		(CDG 101)	434
	PS	wheat	*ḥinṭ-at-		(Fronzaroli 1969b: 12, 27, 34)	435
3936	Akkadian	edible grain (wheat or barley)	uṭṭetu		(CAD U–W 349, AHw. 1446)	435
3937	Ugaritic	wheat	ḥṭt		(DUL 377)	435
3938	Hebrew	wheat	ḥiṭṭā		(HALOT 307)	435
3939	Syriac	wheat	ḥeṭṭətā		(LSyr. 227, SL 444)	435
3940	Arabic	wheat	ḥinṭat-		(Lane 657)	435
3945	Geez	grain, seed	ḫəṭṭat, ḥəṭṭat		(CDG 268)	435
	PS	to tear out	*ḫlš		(Kogan 2015: 558–559)	472
4040	Akkadian	to scrape off	ḫalāšu		(CAD Ḫ 40, AHw. 311)	472
4043	Hebrew	to defeat	ḥlš		(HALOT 324)	472
4042	Arabic	to seize, to carry off by force, to take hastily, to snatch away	ḫls		(Lane 784)	472
	PS	garlic	*ṯūm-		(Fronzaroli 1969b: 6, 24)	475
4058	Akkadian	garlic	šūmū		(CAD Š₃ 298, AHw. 1275)	475
4060	Hebrew	garlic	šūm		(HALOT 1442)	475
4061	Syriac	garlic	tūmā		(LSyr. 819, SL 1631)	475
4062	Arabic	garlic	ṯūm-		(Lane 365)	475
4065	Geez	garlic	som, somat		(CDG 501)	475
	PS	leek	*karaṯ-		(Fronzaroli 1969b: 6, 24, 32)	477
4084	Akkadian	(an alliaceous plant)	giršānu		(CAD G 96, AHw. 286)	477
4080	Akkadian	leek	karašu		(CAD K 212, AHw. 448)	477
4081	Hebrew	leek	kārēšā		(Jastrow 667)	477
4082	Syriac	leek	karrātā		(LSyr. 349, SL 657)	477
4083	Arabic	leek	karāṯ-, karrāṯ-, kurrāṯ-		(Lane 2604)	477
	PS	(a plant belonging to cucurbits)	*ḳVṯ(ṯ)Vˀ-		(Fronzaroli 1969b: 6, 25, 32)	478
4085	Akkadian	melon, gourd, cucumber (a member of the genus Cucurbitaceae)	ḳiššû		(CAD Q 271, AHw. 923)	478
4086	Hebrew	(a plant belonging to cucurbits)	ḳiššūˀīm		(HALOT 1151)	478
4087	Syriac	common cucumber	ḳaṭṭūtā		(LSyr. 657, SL 1349)	478
4088	Arabic	a plant belonging to cucurbits	qiṯṯāˀ-, quṯṯāˀ-		(Lane 2487)	478
4089	Geez	(a plant belonging to cucurbits)	ḳʷəsyāt		(CDG 447)	478
	PS	almond tree, almond	*ṯaḳid-		(Fronzaroli 1969a: 279, 291, 300; Kogan 2012: 253)	479
4093	Akkadian	almond tree, almond	šiḳdu		(CAD Š₃ 94, AHw. 1247)	479
4094	Ugaritic	almond tree, almond	ṯḳd		(DUL 927; Watson 2004: 117–118)	479
4095	Hebrew	almond tree, almond	šāḳēd		(HALOT 1638)	479
4099	Syriac	almond tree, almond	šegdtā		(LSyr. 755, SL 1507)	479
	PS	fig, fig tree	*tiˀin(-at)-		(Kogan 2012: 254)	480
4101	Akkadian	fig tree, fig	tittu		(CAD T 435, AHw. 1363)	480
4104	Ugaritic	fig, fig tree	ti-[n]a?-[t]u₄		(Huehnergard 1987: 184)	480
4103	Hebrew	fig, fig tree	təˀēnā		(HALOT 1675)	480
4105	Syriac	fig, fig tree	tettā		(LSyr. 813, SL 1619)	480
4106	Arabic	fig, fig tree	tīn-		(Lane 325)	480
	PS	jackal	*ˀVwVy-		(SED II No. 21, DRS 12)	481
4276	Hebrew	jackal	ˀī (only in the pl. ˀiyyīm)		(HALOT 38)	481
4277	Syriac	jackals, golden gods	bnāt ˀāway		(LSyr. 8, SL 193)	481
4278	Arabic	(pl. banātu ˀāwān) jackal	ˀibnu ˀāwan		(BK 1 72, Lane 131)	481
	PS	date palm	*tamar-/*tamr-		(Fronzaroli 1969a: 291, 279, 300)	483
4326	Hebrew	date palm	tāmār		(HALOT 1756)	483
4328	Arabic	dates, fruit of palm	tamr-		(Lane 317)	483
4331	Geez	date palm	tamr, tamart		(CDG 576)	483
	PS	tree, trunk	*gapn-		(Fronzaroli 1969b: 8, 25, 33)	484
4341	Akkadian	bush, (fruit)tree; vine	gapnu/gupnu		(CAD G 44, AHw. 281, 298)	484
	PS	fruit	*ˁinab-		(Kogan 2012: 256)	485
4349	Akkadian	fruit	inbu		(CAD I 144, AHw. 381)	485
	PS	cluster, bunch (of grapes etc.)	*ˀVṯkāl-		(Kogan 2011: 204, Kogan 2012: 256–257)	487
4356	Ugaritic	bunch of grapes	ˀuṯkl		(DUL 125; Watson 2004: 120)	487
4357	Hebrew	bunch of grapes	ˀäškōl		(HALOT 95)	487
4359	Arabic	bunch of grapes	ˀiṯkāl-		(Lane 21)	487
4360	Geez	bunch of grapes	ˀaskāl		(CDG 42)	487
	PS	father	*ˀab-		(DRS 1; Kogan 2014: 88)	489
4374	Akkadian	father	abu		(CAD A₁ 67, AHw. 7)	489
4499	Ugaritic	father	ˀab		(DUL 2)	489
4500	Hebrew	father	ˀāb		(HALOT 1)	489
4501	Syriac	father	ˀabbā		(LSyr. 1, SL 1)	489
4502	Arabic	father	ˀab-		(Lane 10)	489
4506	Geez	father	ˀab		(CDG 2)	489
	PS	mother	*ˀimm-		(DRS 22; Kogan 2014: 88)	490
4510	Akkadian	mother	ummu		(CAD U/W 120, AHw. 1416)	490
4511	Ugaritic	mother	ˀum		(DUL 69)	490
4512	Hebrew	mother	ˀēm		(HALOT 61)	490
4513	Syriac	mother	ˀemmā		(LSyr. 23, SL 52)	490
4514	Arabic	mother	ˀumm-		(Lane 89)	490
4517	Geez	mother	ˀəmm		(CDG 22)	490
	PS	brother	*ˀaḫ-		(DRS 15; Kogan 2014: 88)	491
4521	Akkadian	brother	aḫu		(CAD A₁ 195, AHw. 21)	491
4523	Ugaritic	brother	ˀaḫ		(DUL 34)	491
4525	Hebrew	brother	ˀāḥ		(HALOT 29)	491
4527	Syriac	brother	ˀaḥḥā		(LSyr. 10, SL 25)	491
4529	Arabic	brother	ˀaḫ-		(Lane 33)	491
4535	Geez	brother	ˀəḫw		(CDG 13)	491
	PS	sister	*ˀaḫ-āt-		(DRS 15; Kogan 2014: 88)	492
4522	Akkadian	sister	aḫātu		(CAD A₁ 195, AHw. 18)	492
4524	Ugaritic	sister	ˀaḫt		(DUL 34)	492
4526	Hebrew	sister	ˀāḥōt		(HALOT 29)	492
4528	Syriac	sister	ḥātā		(LSyr. 10, SL 503)	492
4530	Arabic	sister	ˀuḫt-		(Lane 33)	492
4536	Geez	sister	ˀəḫət		(CDG 13)	492
	PS	goose	*ˀa/iw(a)z-, *waz(z)-		(SED II No. 22, DRS 12)	493
4380	Akkadian	duck	ūsu		(CAD U–W 282, AHw. 1438)	493
2519	Ugaritic	goose	ˀuz		(DUL 136, Watson 2007: 80)	493
4390	Syriac	goose	wazzā, wāzā		(LSyr. 184, SL 357)	493
4391	Arabic	goose	ˀiwazz-		(BK 1 68, Lane 125)	493
4378	Geez	goose	zǝy		(CDG 646)	493
	PS	ram	*ˀayl-, *ˀVl-		(SED II No. 24, DRS 17)	495
4387	Akkadian	a fine breed of sheep	alu		(CAD A₁ 374, AHw. 39)	495
4394	Ugaritic	ram (of superior quality)	ˀal, ˀil		(DUL 47, 52)	495
4388	Hebrew	ram	ˀayil		(HALOT 40)	495
	PS	stag, deer	*ˀayyal-		(SED II No. 25, Fron. V 294)	496
4403	Akkadian	stag, deer	ayalu		(CAD A₁ 225, AHw. 24)	496
4404	Ugaritic	deer	ˀayl		(DUL 134)	496
4406	Hebrew	fallow deer	ˀayyāl-		(HALOT 40)	496
4407	Hebrew	doe of a fallow deer	ˀayyālā		(HALOT 40)	496
4413	Syriac	deer	ˀaylā		(LS 15, SL 34)	496
4414	Syriac	hind	ˀayltā		(LS 15, SL 35)	496
4417	Arabic	ibex, mountain goat; deer	ˀiyyal-, ˀuyyal-		(BK 1 74, Lane 128)	496
4421	Geez	ibex, mountain goat	hayyal		(CDG 221, LLA 14)	496
	PS	weasel, mouse	*ˀa(n)yaṣ-, *ˀanṣaw/y-		(SED II No. 26)	497
4469	Akkadian	weasel	ayāṣu		(CAD A₂ 231, AHw. 25)	497
4470	Geez	mouse, weasel	ˀanṣawā, ˀanṣewā, ˀanṣowā		(CDG 32, LLA 780, Gr. 247)	497
	PS	kind of ﬁsh	*ˁabVw-		(SED II No. 27, HSED No. 1117)	498
4474	Akkadian	a ﬁsh	abūtu		(CAD A₁ 93, AHw. 9)	498
	PS	calf	*ˁigwal- // ˁigl-		(SED II No. 28, Fron. VI 30, HSED No. 1100)	499
4477	Ugaritic	calf, bullock	ˁgl		(DUL 153)	499
4478	Ugaritic	heifer	ˁglt		(DUL 154)	499
4480	Hebrew	young bull, ox	ˁēgäl		(HALOT 784)	499
4481	Hebrew	heifer, young cow	ˁäglā		(HALOT 784)	499
4491	Syriac	bull calf	ˁeglā		(LSyr. 509, SL 1068)	499
4492	Syriac	calf, heifer	ˁgeltā		(LSyr. 509, SL 1068)	499
4634	Arabic	taureau vieux (old bull)	ˁulǯūm-		(BK 2 339, TA 33 140)	499
4493	Arabic	calf	ˁiǯl-		(BK 2 181, Lane 1964)	499
4494	Arabic	heifer	ˁiǯlat-		(BK 2 181, Lane 1964)	499
4495	Geez	any animal or fowl	ˀǝgwǝl (ˁǝgwal, ˁǝgwl)		(CDG 11, LLA 802)	499
4496	Geez	calf, heifer	ˀǝgwalt, ˀǝgwǝlt		(CDG 11, LLA 802)	499
	PS	son	*bin-		(Kogan 2014: 89, Kogan 2015: 398)	500
22741	Akkadian	son	binu, binnu		(CAD B 242, AHw. 127)	500
4567	Ugaritic	son	bn		(DUL 224)	500
4569	Hebrew	son	bēn		(HALOT 137)	500
4573	Arabic	son	ˀibn-		(Lane 262)	500
	PS	daughter	*bin-(a)t-		(Kogan 2014: 89, Kogan 2015: 398)	501
22742	Akkadian	daughter	bintu, bittu, biˀtu		(CAD B 238, AHw. 127, 1548)	501
4568	Ugaritic	daughter	bt		(DUL 244)	501
4570	Hebrew	daughter	bat		(HALOT 165)	501
4574	Arabic	daughter	bint-		(Lane 262)	501
11136	Geez	pupil of the eye	bənt-a ˁayn		(CDG 99)	501
	PS	to be fat, well fed	*mrˀ		(Fronzaroli 1964 : 28–29, 42)	502
4595	Akkadian	to fatten	marû		(CAD M₁ 307, AHw. 617)	502
4596	Ugaritic	fattened (animal)	mrˀu		(DUL 571)	502
4597	Hebrew	fattened ox	mərī(ˀ)		(HALOT 635)	502
4598	Arabic	to be useful for someone	mrˀ		(Lane 2702)	502
	PS	firstborn	*bVkVr-		(Kogan 2014: 91)	503
4632	Akkadian	firstborn	bukru		(CAD B 309, AHw. 137)	503
4623	Ugaritic	firstborn	bkr		(DUL 210)	503
4624	Hebrew	firstborn	bəkōr		(HALOT 131)	503
4625	Syriac	firstborn	bukrā		(LSyr. 73, SL 126)	503
4626	Arabic	firstborn	bikr-		(Lane 240)	503
4629	Geez	firstborn	bakʷr		(CDG 94)	503
	PS	mouse, jerboa	*ˁakbar-		(SED II No. 30, Fron. V 296)	504
4654	Akkadian	jerboa	akbaru		(CAD A₁ 265, AHw. 28)	504
4663	Akkadian	(kind of) bat	arkabu		(CAD I 177, AHw. 67, Civil 1984a)	504
4655	Hebrew	mouse	ˁakbār		(HALOT 823)	504
4669	Syriac	mouse	ˀagbrā		(LS 542, SL 6)	504
4667	Syriac	mouse; muscle	ˁuḳbrā, ˁuḳbartā		(LS 542, SL 1085)	504
4661	Arabic	mares murum, quibus yarbūˁ nomen est	ˁakābir-		(Fr. III 199, LA IV 601, TA 13 122, Q II 95)	504
4670	Arabic	hyrax Syriacus	wabr-		(Lane 2915, BK 2 1476)	504
	PS	leech	*ˁala/ūḳ(-at)-		(SED II No. 32, Fron. V 297; Kogan 2011: 213–214)	506
4690	Akkadian	leech	ilḳu		(CAD I 88, AHw. 373)	506
4691	Hebrew	leech	ˁălūḳā		(HALOT 831)	506
4694	Syriac	(pl.) kleine Tierchen, die im Brunnen leben (small animals that live in a well)	ˁalḳe		(TW 7)	506
4693	Syriac	leech	ˁellaḳtā, ˁallūḳā		(LS 528, SL 1106)	506
4696	Arabic	leech	ˁalaq-(at-)		(BK 2 345, Lane 2134)	506
4697	Geez	leech	ˁalaḳt		(CDG 61, LLA 952)	506
	PS	goat	*ˁVnz-		(SED II No. 35, Fron. VI 29, HSED No. 240)	508
4727	Akkadian	shegoat, goat (gen. term)	enzu		(CAD E 180, AHw. 221)	508
4728	Ugaritic	caprine animal, kid, goat	ˁz		(DUL 196)	508
4730	Hebrew	goat	ˁēz		(HALOT 804)	508
4737	Syriac	goat	ˁezzā		(LSyr. 535, SL 1089)	508
4745	Arabic	shegoat, female of gazelle, female eagle and vulture, bustard	ˁanz(-at)-		(BK 2 383, Lane 2173)	508
	PS	paternal uncle	*dād-		(Kogan 2014: 93)	509
4762	Akkadian	paternal uncle	dādu		(Kogan 2014:91–92)	509
4764	Hebrew	paternal uncle	dōd		(HALOT 215)	509
4766	Syriac	paternal uncle	dādā		(LSyr. 144, SL 275)	509
4793	Arabic	foster father	dād-		(Dozy I 419)	509
4768	Geez	paternal uncle	dud		(CDG 123)	509
	PS	paternal aunt	*dād-at-		(Kogan 2014: 93)	510
4765	Hebrew	paternal aunt	dōdā		(HALOT 215)	510
4767	Syriac	paternal aunt	dādtā		(LSyr. 144, SL 275)	510
4794	Arabic	wetnurse	dādat-		(Dozy I 419; Kogan 2014: 95, n. 33)	510
	PS	maternal aunt	*ḫāl-at-		(Kogan 2014: 93)	512
4775	Syriac	maternal aunt	ḥāltā		(LSyr. 221, SL 461)	512
4777	Arabic	maternal aunt	ḫālat-		(Lane 825)	512
	PS	grandfather, ancestor, forefather	*ˁamm-		(Kogan 2014: 97)	513
4795	Akkadian	ancestor, forefather	ḫammu		(CAD Ḫ 69, AHw. 317)	513
5233	Syriac	paternal aunt	ˁamtā		(LSyr. 529, SL 1114)	513
4796	Arabic	paternal uncle	ˁamm-		(Lane 2149)	513
4797	Arabic	paternal aunt	ˁammat-		(Lane 2149)	513
	PS	earth as a solid surface (ground)	*ḳarḳar-		(Fronzaroli 1968: 271, 287, 298; Kogan 2011: 189)	514
4800	Akkadian	earth	ḳaḳḳaru		(CAD Q 113, AHw. 900)	514
4804	Hebrew	floor; bottom of the sea	ḳarḳaˁ		(HALOT 1148)	514
4803	Hebrew	bottom of a vessel	ḳarḳārā		(Jastrow 1427)	514
4801	Arabic	earth	qarqar-		(LA 5 100)	514
	PS	mud, clay	*ṭīn-		(Fronzaroli 1968: 271, 287, 298; Kogan 2011: 189)	518
4816	Akkadian	clay	ṭīdu		(CAD Ṭ 106, AHw. 1391)	518
4817	Hebrew	mud, clay	ṭīṭ		(HALOT 374)	518
4818	Syriac	mud, clay	ṭīnā		(LSyr. 274, SL 527)	518
4819	Arabic	mud, clay	ṭīn-		(Lane 1906)	518
	PS	flint	*ṯ̣Vrr-		(Fronzaroli 1968: 271, 287, 298; Kogan 2011: 190)	520
4833	Akkadian	flint, obsidian	ṣurru		(CAD Ṣ 257, AHw. 1114)	520
4834	Hebrew	flint	ṣōr		(HALOT 1052)	520
4835	Syriac	flint	ṭarrānā		(LSyr. 286, SL 554)	520
4836	Arabic	flint	ḏ̣irr-		(Lane 1909)	520
	PS	mound	*tVll-		(Fronzaroli 1968: 272, 287, 298; Kogan 2011: 190)	523
4906	Akkadian	mound	tillu		(CAD T 409, AHw. 1359)	523
4907	Ugaritic	hill, hillock, knoll	tl		(DUL 855)	523
4908	Hebrew	mound	tēl		(HALOT 1735)	523
4909	Syriac	mound	tellā		(LSyr. 824, SL 1646)	523
4910	Arabic	mound	tall-		(Lane 311)	523
	PS	kind of vermin, worm	*ˁa/urub-		(SED II No. 36, Holma 1915: 91)	526
4919	Akkadian	(a worm)	urbatu		(CAD U–W 212, AHw. 1428)	526
4920	Hebrew	vermin in general, pests, noxious insects(?); a particular type of fly, esp. a horsefly(?)	ˁārōb		(HALOT 879)	526
4922	Syriac	culices	ˁarrūbā		(LSyr. 546, SL 1136)	526
	PS	bird of prey	*ˁarw/y-, ˁawr-		(SED II No. 40)	528
4939	Akkadian	eagle	erû		(CAD E 324, AHw. 247)	528
4942	Arabic	hirondelle	ˁuwwār-		(BK 2 405)	528
4940	Arabic	corbeau	ˀaˁwar-		(BK 2 406, Lane 2195)	528
	PS	river	*nah(a)r-		(Fronzaroli 1968: 273, 288, 299; Kogan 2011: 191)	529
4947	Akkadian	river	nāru		(CAD N₁ 368, AHw. 748)	529
4948	Ugaritic	river	nhr		(DUL 626)	529
4949	Hebrew	river	nāhār		(HALOT 676)	529
4950	Syriac	river	nahrā		(LSyr. 417, SL 894)	529
4951	Arabic	river	nahr-, nahar-		(Lane 2858)	529
	PS	stream	*pal(a)g-		(Fronzaroli 1968: 273, 288, 299; Kogan 2011: 191)	530
4956	Akkadian	stream	palgu		(CAD P 62, AHw. 815)	530
4958	Ugaritic	stream, canal	plg		(DUL 671)	530
4957	Hebrew	subdivision of a tribe; watercourse; artificial water channel, canal	päläg		(HALOT 929)	530
4959	Arabic	stream	falǯ-, falaǯ-		(Lane 2437)	530
4953	Geez	river	falag		(CDG 159)	530
	PS	river valley, wadi	*naḫl-		(Fronzaroli 1968: 272, 288, 298; Kogan 2011: 191)	531
4960	Akkadian	river valley, wadi	naḫallu, naḫlu		(CAD N₁ 124, AHw. 712)	531
4961	Ugaritic	river valley, wadi	nḫl		(DUL 629)	531
4962	Hebrew	river valley, wadi	naḥal		(HALOT 686)	531
4963	Syriac	river valley, wadi	naḥlā		(LSyr. 423, SL 908)	531
	PS	well, source of water	*biˀr-, *buˀr(-at)-		(Fronzaroli 1971: 611, 632, 640; Kogan 2011: 192)	534
4978	Akkadian	well; hole, pit	būru		(CAD B 335, 342, AHw. 141)	534
27922	Ugaritic	well	biˀr		(DUL 201)	534
4974	Hebrew	well	bəˀēr		(HALOT 106)	534
4982	Hebrew	cistern, pit, grave	bōr		(HALOT 116)	534
4975	Syriac	well	bērā		(LSyr. 56, SL 114)	534
4976	Arabic	well	biˀr-		(Lane 145)	534
4983	Arabic	(cooking) pit	burat-		(Lane 145)	534
24521	Arabic	a hole dug in the ground in which to cook; a place in which fire is lighted	b1ˀrat-		(Lane 145)	534
4988	Geez	cistern, well, pit	barbir		(CDG 102, LLA 503)	534
	PS	heaven	*šamā̆y-		(Fronzaroli 1965a: 136, 144, 149; Kogan 2011: 192)	536
4990	Akkadian	heaven	šamû		(CAD Š₁ 339, AHw. 1160)	536
4991	Ugaritic	heaven	šmm		(DUL 826)	536
4992	Hebrew	heaven	šāmayim		(HALOT 1559)	536
4993	Syriac	heaven	šmayyā		(LSyr. 785; Kogan 2011: 192)	536
4994	Arabic	heaven	samāˀ-		(Lane 1434)	536
4997	Geez	heaven	samāy		(CDG 504)	536
	PS	to breathe	*npš		(SED I 46ᵥ, Kogan 2011: 193)	540
7929	Akkadian	to breathe	napāšu		(CAD N₁ 288, AHw. 736)	540
27405	Akkadian	soul	napištu, napaštu		(CAD N1 297; AHw. 738; Kogan 2006a:206)	540
9282	Hebrew	(nip.) to breathe freely, recover	npš		(HALOT 711)	540
9284	Syriac	(etp.) to get a respite	npš		(LSyr. 441, SL 937)	540
9286	Arabic	V. to breathe	tanaffasa		(BK 2 1310, Lane 2826)	540
15815	Arabic	breath	nafas		(Lane 2828)	540
9287	Geez	to blow (wind, spirit)	nafsa		(CDG 389)	540
	PS	rain	*ḏVnVm-/ḏVnVn-		(DRS 336; Kogan 2011: 193–194)	541
5029	Akkadian	to rain	zanānu		(CAD Z 41, AHw. 1509)	541
5033	Hebrew	rain	zäräm		(HALOT 281)	541
	PS	lightning	*baraḳ-/*barḳ-		(Fronzaroli 1965a: 140, 146, 150; Kogan 2011: 194)	543
5044	Akkadian	lightning	birḳu		(CAD B 258, AHw. 122)	543
5045	Ugaritic	lightning	brḳ		(DUL 238)	543
5046	Hebrew	lightning	bārāḳ		(HALOT 162)	543
5047	Syriac	lightning	barḳā		(LSyr. 98, SL 192)	543
5048	Arabic	lightning	barq-		(Lane 190)	543
5051	Geez	lightning	mabraḳ		(CDG 106)	543
	PS	thunder	*hadad-		(Fronzaroli 1965a: 140; DRS 373; Kogan 2011: 194)	544
5054	Akkadian	name of the Stormgod	adad		(Schwemer 2001: 34–58)	544
5055	Ugaritic	name of the Stormgod	hd, hdd		(DUL 334)	544
5060	Arabic	thunder	hāddat-		(Lane 2883)	544
	PS	thunder	*raˁd-		(Fronzaroli 1964: 40, 52, 1965: 140; Kogan 2011: 194)	545
5062	Akkadian	rainstorm	rādu		(CAD R 60, AHw. 941)	545
5064	Arabic	thunder	raˁd-		(Lane 1105)	545
	PS	snow	*ṯalg-		(Fronzaroli 1965a: 140, 146, 149; Kogan 2011: 194)	546
5067	Akkadian	snow	šalgu		(CAD Š₁ 241, AHw. 1147)	546
5072	Ugaritic	snow	glṯ		(DUL 299)	546
5068	Hebrew	snow	šäläg		(HALOT 1503)	546
5069	Syriac	snow	talgā		(LSyr. 825, SL 1647)	546
5070	Arabic	snow	ṯalǯ-		(Lane 350)	546
	PS	to burn	*ŝwṭ		(Kogan 2011: 195)	549
	PS	fire	*lahb-		(Fronzaroli 1971: 625, 636, 641–642; Kogan 2011: 195)	550
5088	Akkadian	(a disease)	laˀbu		(CAD L 34, AHw. 526, 521)	550
5083	Hebrew	fire	lahab, lähābā		(HALOT 520)	550
5085	Arabic	fire	lahab-		(Lane 2675)	550
5086	Geez	fire	lāhb		(CDG 308)	550
	PS	fire	*nabal-		(Fronzaroli 1971: 625, 636, 641–642; Kogan 2011: 195)	551
2539	Akkadian	flame	nablu		(CAD N₁ 25, AHw. 698)	551
2538	Ugaritic	flame	nblˀat		(DUL 618, Watson 2007: 97)	551
5091	Geez	fire	nabal		(CDG 383; Conti 1980: 50–51)	551
	PS	charcoal	*pVḥm-		(Fronzaroli 1971: 625, 636, 642; Kogan 2011: 195)	552
5092	Akkadian	charcoal	pēmtu, pēntu, pēndu, peʾettu		(CAD P 324, AHw. 854)	552
5094	Ugaritic	charcoal	pḥm		(DUL 668)	552
5093	Hebrew	charcoal	päḥām		(HALOT 924)	552
5096	Syriac	coal	paḥmā		(LSyr. 563, SL 1179)	552
5097	Arabic	charcoal	faḥm-, faḥam-		(Lane 2347)	552
5099	Geez	charcoal	fəḥm		(CDG 157)	552
	PS	to be hot	*ḥmm		(Fronzaroli 1965a: 142, 147, 150; Kogan 2011: 195)	553
5106	Akkadian	hot	emmu		(CAD E 150, AHw. 214)	553
5109	Hebrew	hot	ḥām		(HALOT 325, 328)	553
27258	Syriac	hot	ḥammimā		(LSyr. 239)	553
5112	Arabic	to become hot	ḥmm		(Lane 635)	553
	PS	light	*ˀr		(Fronzaroli 1965a: 138, 144; Kogan 2011: 196)	554
3726	Akkadian	morning	urru		(CAD U–W 243, AHw. 1433)	554
3730	Ugaritic	warmth, heat	ˀur		(DUL 94–95)	554
3729	Ugaritic	light	ˀar, ˀir		(DUL 94–95)	554
3727	Hebrew	light	ˀōr		(HALOT 24)	554
